Constituency_Name,Districts,Constituency_Number,Classification,Caste Majority,1983,1985,1989,1994,1999,VM_1999,2004,VM_2004,2009,VM_2009,2014,VM_2014,2019,VM_2019
ICHCHAPURAM,SRIKAKULAM,1,RURAL,OBC,TDP,TDP,TDP,TDP,TDP,0,INC,1,TDP,0,TDP,2,TDP,1
PALASA,SRIKAKULAM,2,RURAL,OBC,INC,TDP,IND,TDP,TDP,2,TDP,2,INC,1,TDP,2,YSRCP,2
TEKKALI,SRIKAKULAM,3,RURAL,OBC,TDP,TDP,TDP,TDP,TDP,1,INC,2,INC,0,TDP,1,TDP,1
PATHAPATNAM,SRIKAKULAM,4,RURAL,FC,TDP,INC,TDP,TDP,TDP,2,TDP,0,INC,2,YSRCP,0,YSRCP,2
SRIKAKULAM,SRIKAKULAM,5,SEMI_URBAN,OBC,TDP,TDP,TDP,TDP,TDP,2,INC,1,INC,0,TDP,2,YSRCP,1
AMADALAVALASA,SRIKAKULAM,6,RURAL,OBC,TDP,TDP,INC,TDP,TDP,0,INC,0,INC,2,TDP,1,YSRCP,2
ETCHERLA,SRIKAKULAM,7,RURAL,OBC,TDP,TDP,TDP,TDP,TDP,2,INC,1,INC,2,TDP,0,YSRCP,2
NARASANNAPETA,SRIKAKULAM,8,RURAL,OBC,TDP,TDP,INC,TDP,INC,1,INC,1,INC,2,TDP,0,YSRCP,2
PALAKONDA,SRIKAKULAM,10,RURAL,FC,TDP,TDP,INC,TDP,IND,0,TDP,2,INC,2,YSRCP,0,YSRCP,2
KURUPAM,VIZIANAGARAM,11,RURAL,OBC,INC,INC,INC,TDP,INC,1,CPM,1,INC,2,YSRCP,2,YSRCP,2
PARVATHIPURAM,VIZIANAGARAM,12,RURAL,OBC,TDP,TDP,TDP,TDP,INC,2,INC,0,INC,0,TDP,1,YSRCP,2
SALUR,VIZIANAGARAM,13,RURAL,OBC,TDP,TDP,INC,TDP,TDP,2,TDP,0,INC,0,YSRCP,0,YSRCP,2
