Constituency_Number,Constituency_Name,Districts,Classification,Caste Majority,1983,1985,1989,1994,1999,VM_1999,2004,VM_2004,2009,VM_2009,2014,VM_2014,2019,VM_2019,predicted_cluster
1,ICHCHAPURAM,SRIKAKULAM,RURAL,OBC,TDP,TDP,TDP,TDP,TDP,0,INC,1,TDP,0,TDP,2,TDP,1,0
2,PALASA,SRIKAKULAM,RURAL,OBC,INC,TDP,IND,TDP,TDP,2,TDP,2,INC,1,TDP,2,YSRCP,2,4
3,TEKKALI,SRIKAKULAM,RURAL,OBC,TDP,TDP,TDP,TDP,TDP,1,INC,2,INC,0,TDP,1,TDP,1,0
4,PATHAPATNAM,SRIKAKULAM,RURAL,FC,TDP,INC,TDP,TDP,TDP,2,TDP,0,INC,2,YSRCP,0,YSRCP,2,2
5,SRIKAKULAM,SRIKAKULAM,SEMI_URBAN,OBC,TDP,TDP,TDP,TDP,TDP,2,INC,1,INC,0,TDP,2,YSRCP,1,0
6,AMADALAVALASA,SRIKAKULAM,RURAL,OBC,TDP,TDP,INC,TDP,TDP,0,INC,0,INC,2,TDP,1,YSRCP,2,3
7,ETCHERLA,SRIKAKULAM,RURAL,OBC,TDP,TDP,TDP,TDP,TDP,2,INC,1,INC,2,TDP,0,YSRCP,2,5
8,NARASANNAPETA,SRIKAKULAM,RURAL,OBC,TDP,TDP,INC,TDP,INC,1,INC,1,INC,2,TDP,0,YSRCP,2,2
10,PALAKONDA,SRIKAKULAM,RURAL,FC,TDP,TDP,INC,TDP,IND,0,TDP,2,INC,2,YSRCP,0,YSRCP,2,2
11,KURUPAM,VIZIANAGARAM,RURAL,OBC,INC,INC,INC,TDP,INC,1,CPM,1,INC,2,YSRCP,2,YSRCP,2,2
12,PARVATHIPURAM,VIZIANAGARAM,RURAL,OBC,TDP,TDP,TDP,TDP,INC,2,INC,0,INC,0,TDP,1,YSRCP,2,3
13,SALUR,VIZIANAGARAM,RURAL,OBC,TDP,TDP,INC,TDP,TDP,2,TDP,0,INC,0,YSRCP,0,YSRCP,2,2
14,BOBBILI,VIZIANAGARAM,RURAL,OBC,TDP,TDP,INC,TDP,INC,1,INC,2,INC,2,YSRCP,1,YSRCP,1,0
15,CHEEPURUPALLE,VIZIANAGARAM,RURAL,OBC,TDP,TDP,TDP,TDP,TDP,0,INC,2,INC,1,TDP,2,YSRCP,2,4
16,GAJAPATHINAGARAM,VIZIANAGARAM,RURAL,OBC,TDP,INC,TDP,TDP,INC,0,TDP,2,INC,2,TDP,2,YSRCP,2,4
17,NELLIMARLA,VIZIANAGARAM,RURAL,OBC,INC,INC,INC,TDP,INC,0,INC,0,INC,0,TDP,1,YSRCP,2,1
18,VIZIANAGARAM,VIZIANAGARAM,URBAN,OBC,TDP,TDP,TDP,TDP,TDP,1,IND,0,TDP,0,TDP,2,YSRCP,1,0
19,SRUNGAVARAPUKOTA,VIZIANAGARAM,RURAL,OBC,TDP,TDP,TDP,TDP,TDP,0,INC,1,TDP,0,TDP,2,YSRCP,2,4
20,BHIMILI,VISHAKAPATNAM,RURAL,OBC,TDP,TDP,TDP,TDP,TDP,2,INC,0,PRAP,1,TDP,2,YSRCP,1,0
22,VISAKHAPATNAM SOUTH,VISHAKAPATNAM,URBAN,OBC,TDP,TDP,INC,TDP,BJP,1,INC,2,INC,0,TDP,2,TDP,0,0
24,VISAKHAPATNAM WEST,VISHAKAPATNAM,URBAN,OBC,TDP,TDP,INC,TDP,TDP,2,INC,2,INC,0,TDP,2,TDP,2,0
25,GAJUWAKA,VISHAKAPATNAM,URBAN,OBC,TDP,TDP,TDP,TDP,TDP,2,INC,2,PRAP,2,TDP,2,YSRCP,2,0
26,CHODAVARAM,VISHAKAPATNAM,RURAL,FC,TDP,TDP,INC,TDP,INC,1,TDP,1,TDP,0,TDP,0,YSRCP,2,2
27,MADUGULA,VISHAKAPATNAM,RURAL,OBC,TDP,TDP,TDP,TDP,TDP,1,INC,1,TDP,1,YSRCP,0,YSRCP,2,2
29,PADERU,VISHAKAPATNAM,RURAL,ST,INC,TDP,INC,TDP,TDP,0,BSP,1,INC,0,YSRCP,2,YSRCP,2,0
30,ANAKAPALLE,VISHAKAPATNAM,RURAL,FC,TDP,TDP,TDP,TDP,TDP,0,INC,2,PRAP,2,TDP,2,YSRCP,1,0
31,PENDURTHI,VISHAKAPATNAM,RURAL,OBC,TDP,TDP,INC,CPI,TDP,2,INC,2,PRAP,0,TDP,2,YSRCP,2,0
32,YELAMANCHILI,VISHAKAPATNAM,RURAL,OBC,TDP,TDP,TDP,TDP,TDP,1,INC,1,INC,2,TDP,1,YSRCP,0,5
33,PAYAKARAOPET,VISHAKAPATNAM,RURAL,OBC,TDP,TDP,TDP,TDP,TDP,1,TDP,2,INC,0,TDP,0,YSRCP,2,0
34,NARSIPATNAM,VISHAKAPATNAM,RURAL,OBC,TDP,TDP,INC,TDP,TDP,1,TDP,2,INC,1,TDP,0,YSRCP,2,2
35,TUNI,EAST GODAVARI,RURAL,OBC,TDP,TDP,TDP,TDP,TDP,0,TDP,0,INC,1,YSRCP,2,YSRCP,2,4
36,PRATHIPADU,EAST GODAVARI,RURAL,OBC,TDP,TDP,INC,TDP,TDP,2,INC,2,TDP,0,YSRCP,0,YSRCP,0,0
37,PITHAPURAM,EAST GODAVARI,RURAL,OBC,TDP,TDP,INC,TDP,IND,0,BJP,2,PRAP,0,IND,2,YSRCP,2,4
38,KAKINADA RURAL,EAST GODAVARI,SEMI_URBAN,OBC,TDP,TDP,INC,TDP,TDP,2,INC,2,PRAP,1,TDP,1,YSRCP,1,0
39,PEDDAPURAM,EAST GODAVARI,SEMI_URBAN,FC,TDP,TDP,INC,TDP,TDP,1,INC,2,PRAP,0,TDP,2,TDP,0,0
40,ANAPARTHY,EAST GODAVARI,RURAL,FC,TDP,TDP,INC,TDP,TDP,0,INC,2,INC,2,TDP,0,YSRCP,2,4
41,KAKINADA CITY,EAST GODAVARI,URBAN,FC,TDP,TDP,INC,TDP,TDP,0,INC,2,INC,1,TDP,2,YSRCP,2,4
42,RAMACHANDRAPURAM,EAST GODAVARI,RURAL,OBC,TDP,TDP,INC,IND,TDP,2,IND,1,INC,0,TDP,2,YSRCP,1,0
43,MUMMIDIVARAM,EAST GODAVARI,RURAL,OBC,TDP,TDP,INC,INC,TDP,2,INC,2,INC,0,TDP,2,YSRCP,1,0
44,AMALAPURAM,EAST GODAVARI,RURAL,OBC,TDP,INC,INC,TDP,TDP,2,IND,0,INC,1,TDP,2,YSRCP,2,4
45,RAZOLE,EAST GODAVARI,RURAL,SC,TDP,TDP,INC,TDP,TDP,0,INC,2,INC,1,TDP,0,JSP,0,4
46,GANNAVARAM,EAST GODAVARI,RURAL,SC,TDP,TDP,INC,TDP,BJP,2,INC,0,INC,2,TDP,1,YSRCP,2,3
47,KOTHAPETA,EAST GODAVARI,RURAL,FC,TDP,TDP,INC,TDP,TDP,2,INC,0,PRAP,0,YSRCP,0,YSRCP,0,0
48,MANDAPETA,EAST GODAVARI,RURAL,FC,TDP,TDP,INC,TDP,TDP,2,INC,1,TDP,2,TDP,2,TDP,2,3
49,RAJANAGARAM,EAST GODAVARI,RURAL,FC,TDP,TDP,INC,TDP,TDP,0,INC,0,TDP,1,TDP,1,YSRCP,2,3
50,RAJAHMUNDRY CITY,EAST GODAVARI,URBAN,FC,TDP,TDP,INC,TDP,TDP,2,INC,1,INC,0,BJP,2,TDP,2,0
51,RAJAHMUNDRY RURAL,EAST GODAVARI,SEMI_URBAN,FC,TDP,TDP,IND,TDP,INC,0,INC,2,TDP,0,TDP,2,TDP,2,4
